Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,Instructor,Date (MM DD),Location,Attribute
C,10005,ACCT,229,502,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,46,46,0,Jeannie Barrett(P),03 27 to 03 27,TBA,N A
C,10005,ACCT,229,502,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,46,46,0,Jeannie Barrett(P),04 24 to 04 24,TBA,N A
C,10006,ACCT,229,503,CS,3,INTRO ACCOUNTING(Syllabus),MW,12:45 pm to 02:00 pm,82,105, to 23,Jeannie Barrett(P),01 17 to 05 08,WCBA 161,N A
C,10006,ACCT,229,503,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,82,105, to 23,Jeannie Barrett(P),02 20 to 02 20,TBA,N A
C,10006,ACCT,229,503,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,82,105, to 23,Jeannie Barrett(P),03 27 to 03 27,TBA,N A
C,10006,ACCT,229,503,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,82,105, to 23,Jeannie Barrett(P),04 24 to 04 24,TBA,N A
C,24413,ACCT,229,504,CS,3,INTRO ACCOUNTING(Syllabus),TR,11:10 am to 12:25 pm,68,68,0,Michael J. Head(P),01 17 to 05 08,WCBA 111,N A
C,24413,ACCT,229,504,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,68,68,0,Michael J. Head(P),02 20 to 02 20,TBA,N A
C,24413,ACCT,229,504,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,68,68,0,Michael J. Head(P),03 27 to 03 27,TBA,N A
C,24413,ACCT,229,504,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,68,68,0,Michael J. Head(P),04 24 to 04 24,TBA,N A
NR,10007,ACCT,229,505,CS,3,INTRO ACCOUNTING(Syllabus),TR,12:45 pm to 02:00 pm,68,67,1,Michael J. Head(P),01 17 to 05 08,WCBA 111,N A
NR,10007,ACCT,229,505,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,68,67,1,Michael J. Head(P),02 20 to 02 20,TBA,N A
NR,10007,ACCT,229,505,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,68,67,1,Michael J. Head(P),03 27 to 03 27,TBA,N A
NR,10007,ACCT,229,505,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,68,67,1,Michael J. Head(P),04 24 to 04 24,TBA,N A
C,27384,ACCT,229,511,CS,3,INTRO ACCOUNTING(Syllabus),MW,11:10 am to 12:25 pm,68,69, to 1,Lindsey E. Mudge (P),01 17 to 05 08,WCBA 111,N A
C,27384,ACCT,229,511,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,68,69, to 1,Lindsey E. Mudge (P),02 20 to 02 20,TBA,N A
C,27384,ACCT,229,511,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,68,69, to 1,Lindsey E. Mudge (P),03 27 to 03 27,TBA,N A
C,27384,ACCT,229,511,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,68,69, to 1,Lindsey E. Mudge (P),04 24 to 04 24,TBA,N A
C,27855,ACCT,229,512,CS,3,INTRO ACCOUNTING(Syllabus),MW,12:45 pm to 02:00 pm,46,46,0,Lindsey E. Mudge (P),01 17 to 05 08,WCBA 104,N A
C,27855,ACCT,229,512,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,46,46,0,Lindsey E. Mudge (P),02 20 to 02 20,TBA,N A
C,27855,ACCT,229,512,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,46,46,0,Lindsey E. Mudge (P),03 27 to 03 27,TBA,N A
C,27855,ACCT,229,512,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,46,46,0,Lindsey E. Mudge (P),04 24 to 04 24,TBA,N A
C,27856,ACCT,229,513,CS,3,INTRO ACCOUNTING(Syllabus),TR,09:35 am to 10:50 am,55,56, to 1,Lindsey E. Mudge (P),01 17 to 05 08,WCBA 155,N A
C,27856,ACCT,229,513,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,55,56, to 1,Lindsey E. Mudge (P),02 20 to 02 20,TBA,N A
